Project,Directory,Sample ID,Sex,Birth Date,DO Generation,Unique Sample ID
Univ_of_Penn_Thaiss,Univ_of_Penn_Thaiss_MURMUGV01_20200130,81,,,32,81
Univ_of_Penn_Thaiss,Univ_of_Penn_Thaiss_MURMUGV01_20200130,82,,,32,82
Univ_of_Penn_Thaiss,Univ_of_Penn_Thaiss_MURMUGV01_20200130,83,,,32,83
Univ_of_Penn_Thaiss,Univ_of_Penn_Thaiss_MURMUGV01_20200130,84,,,32,84
Univ_of_Penn_Thaiss,Univ_of_Penn_Thaiss_MURMUGV01_20200130,85,,,32,85
Univ_of_Penn_Thaiss,Univ_of_Penn_Thaiss_MURMUGV01_20200130,86,,,32,86
Univ_of_Penn_Thaiss,Univ_of_Penn_Thaiss_MURMUGV01_20200130,87,,,32,87
Univ_of_Penn_Thaiss,Univ_of_Penn_Thaiss_MURMUGV01_20200130,88,,,32,88
Univ_of_Penn_Thaiss,Univ_of_Penn_Thaiss_MURMUGV01_20200130,89,,,32,89
Univ_of_Penn_Thaiss,Univ_of_Penn_Thaiss_MURMUGV01_20200130,91,,,32,91
Univ_of_Penn_Thaiss,Univ_of_Penn_Thaiss_MURMUGV01_20200130,92,,,32,92
Univ_of_Penn_Thaiss,Univ_of_Penn_Thaiss_MURMUGV01_20200130,93,,,32,93
Univ_of_Penn_Thaiss,Univ_of_Penn_Thaiss_MURMUGV01_20200130,94,,,32,94
Univ_of_Penn_Thaiss,Univ_of_Penn_Thaiss_MURMUGV01_20200130,95,,,32,95
Univ_of_Penn_Thaiss,Univ_of_Penn_Thaiss_MURMUGV01_20200130,96,,,32,96
Univ_of_Penn_Thaiss,Univ_of_Penn_Thaiss_MURMUGV01_20200130,97,,,32,97
Univ_of_Penn_Thaiss,Univ_of_Penn_Thaiss_MURMUGV01_20200130,98,,,32,98
Univ_of_Penn_Thaiss,Univ_of_Penn_Thaiss_MURMUGV01_20200130,99,,,32,99
Univ_of_Penn_Thaiss,Univ_of_Penn_Thaiss_MURMUGV01_20200130,100,,,32,100
